Genero,Etnia,Nivel educativo de los padres,Examen de preparacion,Matematicas,Lectura,Escritura
Femenino,Grupo B,"Licenciatura, Ingenieria",No realizado,72,72,74
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,69,90,88
Femenino,Grupo B,Maestria,No realizado,90,95,93
Masculino,Grupo A,Preparatoria,No realizado,47,57,44
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,76,78,75
Femenino,Grupo B,Preparatoria,No realizado,71,83,78
Femenino,Grupo B,"Educacion Superior, no titulado",Completado,88,95,92
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,40,43,39
Masculino,Grupo D,Secundaria,Completado,64,64,67
Femenino,Grupo B,Secundaria,No realizado,38,60,50
Masculino,Grupo C,Preparatoria,No realizado,58,54,52
Masculino,Grupo D,Preparatoria,No realizado,40,52,43
Femenino,Grupo B,Secundaria,No realizado,65,81,73
Masculino,Grupo A,"Educacion Superior, no titulado",Completado,78,72,70
Femenino,Grupo A,Maestria,No realizado,50,53,58
Femenino,Grupo C,Secundaria,No realizado,69,75,78
Masculino,Grupo C,Secundaria,No realizado,88,89,86
Femenino,Grupo B,Secundaria,No realizado,18,32,28
Masculino,Grupo C,Maestria,Completado,46,42,46
Femenino,Grupo C,Preparatoria,No realizado,54,58,61
Masculino,Grupo D,Secundaria,No realizado,66,69,63
Femenino,Grupo B,"Educacion Superior, no titulado",Completado,65,75,70
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,44,54,53
Femenino,Grupo C,Secundaria,No realizado,69,73,73
Masculino,Grupo D,"Licenciatura, Ingenieria",Completado,74,71,80
Masculino,Grupo A,Maestria,No realizado,73,74,72
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,69,54,55
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,67,69,75
Masculino,Grupo C,Secundaria,No realizado,70,70,65
Femenino,Grupo D,Maestria,No realizado,62,70,75
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,69,74,74
Femenino,Grupo B,"Educacion Superior, no titulado",No realizado,63,65,61
Femenino,Grupo E,Maestria,No realizado,56,72,65
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,40,42,38
Masculino,Grupo E,"Educacion Superior, no titulado",No realizado,97,87,82
Masculino,Grupo E,Preparatoria,Completado,81,81,79
Femenino,Grupo D,Preparatoria,No realizado,74,81,83
Femenino,Grupo D,Secundaria,No realizado,50,64,59
Femenino,Grupo D,Preparatoria,Completado,75,90,88
Masculino,Grupo B,Preparatoria,No realizado,57,56,57
Masculino,Grupo C,Preparatoria,No realizado,55,61,54
Femenino,Grupo C,Preparatoria,No realizado,58,73,68
Femenino,Grupo B,Preparatoria,No realizado,53,58,65
Masculino,Grupo B,"Educacion Superior, no titulado",Completado,59,65,66
Femenino,Grupo E,Preparatoria,No realizado,50,56,54
Masculino,Grupo B,Preparatoria,No realizado,65,54,57
Femenino,Grupo A,Preparatoria,Completado,55,65,62
Femenino,Grupo C,Secundaria,No realizado,66,71,76
Femenino,Grupo D,Preparatoria,Completado,57,74,76
Masculino,Grupo C,Secundaria,Completado,82,84,82
Masculino,Grupo E,"Educacion Superior, no titulado",No realizado,53,55,48
Masculino,Grupo E,Preparatoria,Completado,77,69,68
Masculino,Grupo C,"Educacion Superior, no titulado",No realizado,53,44,42
Masculino,Grupo D,Secundaria,No realizado,88,78,75
Femenino,Grupo C,Secundaria,Completado,71,84,87
Femenino,Grupo C,Secundaria,No realizado,33,41,43
Femenino,Grupo E,Preparatoria,Completado,82,85,86
Masculino,Grupo D,Preparatoria,No realizado,52,55,49
Masculino,Grupo D,"Educacion Superior, no titulado",Completado,58,59,58
Femenino,Grupo C,Secundaria,No realizado,0,17,10
Masculino,Grupo E,"Licenciatura, Ingenieria",Completado,79,74,72
Masculino,Grupo A,Secundaria,No realizado,39,39,34
Masculino,Grupo A,Preparatoria,No realizado,62,61,55
Femenino,Grupo C,Preparatoria,No realizado,69,80,71
Femenino,Grupo D,Secundaria,No realizado,59,58,59
Masculino,Grupo B,Secundaria,No realizado,67,64,61
Masculino,Grupo D,Secundaria,No realizado,45,37,37
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,60,72,74
Masculino,Grupo B,Preparatoria,No realizado,61,58,56
Femenino,Grupo C,Preparatoria,No realizado,39,64,57
Femenino,Grupo D,"Educacion Superior, no titulado",Completado,58,63,73
Masculino,Grupo D,"Educacion Superior, no titulado",Completado,63,55,63
Femenino,Grupo A,Preparatoria,No realizado,41,51,48
Masculino,Grupo C,Secundaria,No realizado,61,57,56
Masculino,Grupo C,Secundaria,No realizado,49,49,41
Masculino,Grupo B,Preparatoria,No realizado,44,41,38
Masculino,Grupo E,Secundaria,No realizado,30,26,22
Masculino,Grupo A,"Licenciatura, Ingenieria",Completado,80,78,81
Femenino,Grupo D,Secundaria,Completado,61,74,72
Femenino,Grupo E,Maestria,No realizado,62,68,68
Femenino,Grupo B,Preparatoria,No realizado,47,49,50
Masculino,Grupo B,Secundaria,No realizado,49,45,45
Masculino,Grupo A,"Educacion Superior, no titulado",Completado,50,47,54
Masculino,Grupo E,Preparatoria,No realizado,72,64,63
Masculino,Grupo D,Secundaria,No realizado,42,39,34
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,73,80,82
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,76,83,88
Femenino,Grupo D,Preparatoria,No realizado,71,71,74
Femenino,Grupo A,"Educacion Superior, no titulado",No realizado,58,70,67
Femenino,Grupo D,Secundaria,No realizado,73,86,82
Femenino,Grupo C,"Licenciatura, Ingenieria",No realizado,65,72,74
Masculino,Grupo C,Secundaria,No realizado,27,34,36
Masculino,Grupo C,Secundaria,No realizado,71,79,71
Masculino,Grupo C,Preparatoria,Completado,43,45,50
Femenino,Grupo B,"Educacion Superior, no titulado",No realizado,79,86,92
Masculino,Grupo C,Preparatoria,Completado,78,81,82
Masculino,Grupo B,Secundaria,Completado,65,66,62
Femenino,Grupo E,"Educacion Superior, no titulado",Completado,63,72,70
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,58,67,62
Femenino,Grupo D,"Licenciatura, Ingenieria",No realizado,65,67,62
Masculino,Grupo B,"Educacion Superior, no titulado",No realizado,79,67,67
Masculino,Grupo D,"Licenciatura, Ingenieria",Completado,68,74,74
Femenino,Grupo D,Preparatoria,No realizado,85,91,89
Masculino,Grupo B,Secundaria,Completado,60,44,47
Masculino,Grupo C,"Educacion Superior, no titulado",Completado,98,86,90
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,58,67,72
Femenino,Grupo D,Maestria,No realizado,87,100,100
Masculino,Grupo E,Preparatoria,Completado,66,63,64
Femenino,Grupo B,Preparatoria,No realizado,52,76,70
Femenino,Grupo B,Secundaria,No realizado,70,64,72
Femenino,Grupo D,Preparatoria,Completado,77,89,98
Masculino,Grupo C,Secundaria,No realizado,62,55,49
Masculino,Grupo A,Preparatoria,No realizado,54,53,47
Femenino,Grupo D,"Educacion Superior, no titulado",No realizado,51,58,54
Femenino,Grupo E,"Licenciatura, Ingenieria",Completado,99,100,100
Masculino,Grupo C,Secundaria,No realizado,84,77,74
Femenino,Grupo B,"Licenciatura, Ingenieria",No realizado,75,85,82
Femenino,Grupo D,"Licenciatura, Ingenieria",No realizado,78,82,79
Femenino,Grupo D,Secundaria,No realizado,51,63,61
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,55,69,65
Femenino,Grupo C,"Licenciatura, Ingenieria",Completado,79,92,89
Masculino,Grupo B,Preparatoria,Completado,91,89,92
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,88,93,93
Masculino,Grupo D,Secundaria,No realizado,63,57,56
Masculino,Grupo E,"Educacion Superior, no titulado",No realizado,83,80,73
Femenino,Grupo B,Secundaria,No realizado,87,95,86
Masculino,Grupo B,Secundaria,No realizado,72,68,67
Masculino,Grupo D,"Educacion Superior, no titulado",Completado,65,77,74
Masculino,Grupo D,Maestria,No realizado,82,82,74
Femenino,Grupo A,"Licenciatura, Ingenieria",No realizado,51,49,51
Masculino,Grupo D,Maestria,No realizado,89,84,82
Masculino,Grupo C,Secundaria,Completado,53,37,40
Masculino,Grupo E,"Educacion Superior, no titulado",Completado,87,74,70
Femenino,Grupo C,"Educacion Superior, no titulado",Completado,75,81,84
Masculino,Grupo D,"Licenciatura, Ingenieria",Completado,74,79,75
Masculino,Grupo C,"Licenciatura, Ingenieria",No realizado,58,55,48
Masculino,Grupo B,Secundaria,Completado,51,54,41
Masculino,Grupo E,Secundaria,No realizado,70,55,56
Femenino,Grupo C,Preparatoria,No realizado,59,66,67
Masculino,Grupo D,"Educacion Superior, no titulado",Completado,71,61,69
Femenino,Grupo D,Secundaria,No realizado,76,72,71
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,59,62,64
Femenino,Grupo E,"Educacion Superior, no titulado",Completado,42,55,54
Masculino,Grupo A,Secundaria,No realizado,57,43,47
Masculino,Grupo D,"Educacion Superior, no titulado",No realizado,88,73,78
Femenino,Grupo C,"Educacion Superior, no titulado",No realizado,22,39,33
Masculino,Grupo B,Secundaria,No realizado,88,84,75
Masculino,Grupo C,Preparatoria,No realizado,73,68,66
Femenino,Grupo D,"Licenciatura, Ingenieria",Completado,68,75,81
Masculino,Grupo E,Preparatoria,Completado,100,100,93
